sid,impd,date,spp,tl,w,sex,age,recap,structure
87832,SGCA,6/8/2021,Flathead Catfish,1200,23120,M,12,,Y
87822,SGCA,6/8/2021,Flathead Catfish,1148,22380,M,13,,Y
87821,SGCA,6/8/2021,Flathead Catfish,1131,20920,M,11,,Y
87813,SGCA,6/8/2021,Flathead Catfish,1063,18000,M,8,,Y
87832,SGCA,6/8/2021,Flathead Catfish,1058,23080,M,13,,Y
87815,SGCA,6/8/2021,Flathead Catfish,1056,22400,M,21,,Y
87832,SGCA,6/8/2021,Flathead Catfish,1022,17700,M,7,,Y
87832,SGCA,6/8/2021,Flathead Catfish,990,16510,F,14,,Y
87817,SGCA,6/8/2021,Flathead Catfish,981,15100,M,10,,Y
87811,SGCA,6/8/2021,Flathead Catfish,961,15300,M,9,,Y
87821,SGCA,6/8/2021,Flathead Catfish,957,14940,F,8,,Y
87832,SGCA,6/8/2021,Flathead Catfish,899,11350,M,10,,Y
87815,SGCA,6/8/2021,Flathead Catfish,872,10100,M,9,,Y
87621,MGSL,6/8/2021,Flathead Catfish,848,12000,M,8,,Y
87815,SGCA,6/8/2021,Flathead Catfish,833,9010,F,16,,Y
87821,SGCA,6/8/2021,Flathead Catfish,821,8250,F,7,,Y
87811,SGCA,6/8/2021,Flathead Catfish,814,7330,F,10,,Y
87622,MGSL,6/8/2021,Flathead Catfish,810,10000,M,10,,Y
87825,SGCA,6/8/2021,Flathead Catfish,807,7830,F,9,,Y
87832,SGCA,6/8/2021,Flathead Catfish,805,7060,F,10,,Y
87815,SGCA,6/8/2021,Flathead Catfish,795,6890,M,7,,Y
87821,SGCA,6/8/2021,Flathead Catfish,764,5780,F,5,,Y
87832,SGCA,6/8/2021,Flathead Catfish,757,6040,F,10,,Y
87832,SGCA,6/8/2021,Flathead Catfish,756,6610,M,7,,Y
87832,SGCA,6/8/2021,Flathead Catfish,751,6080,F,7,,Y
87815,SGCA,6/8/2021,Flathead Catfish,749,5340,F,4,,Y
