sid,impd,date,gear,grid,effort
91101,CRSL,6/10/2021,Catfish Electro,9,0.083333333
87654,CRSL,6/10/2021,Catfish Electro,30,0.083333333
87652,CRSL,6/10/2021,Catfish Electro,36,0.083333333
87653,CRSL,6/10/2021,Catfish Electro,51,0.083333333
87651,CRSL,6/10/2021,Catfish Electro,55,0.083333333
87650,CRSL,6/10/2021,Catfish Electro,76,0.083333333
87655,CRSL,6/10/2021,Catfish Electro,82,0.083333333
87646,CRSL,6/10/2021,Catfish Electro,91,0.083333333
87649,CRSL,6/10/2021,Catfish Electro,93,0.083333333
87647,CRSL,6/10/2021,Catfish Electro,96,0.083333333
87648,CRSL,6/10/2021,Catfish Electro,106,0.083333333
87710,CRSL,6/15/2021,Catfish Electro,9,0.083333333
87711,CRSL,6/15/2021,Catfish Electro,30,0.083333333
87709,CRSL,6/15/2021,Catfish Electro,36,0.083333333
87708,CRSL,6/15/2021,Catfish Electro,51,0.083333333
87707,CRSL,6/15/2021,Catfish Electro,55,0.083333333
87706,CRSL,6/15/2021,Catfish Electro,76,0.083333333
87700,CRSL,6/15/2021,Catfish Electro,82,0.083333333
87712,CRSL,6/15/2021,Catfish Electro,91,0.083333333
87705,CRSL,6/15/2021,Catfish Electro,93,0.083333333
87701,CRSL,6/15/2021,Catfish Electro,96,0.083333333
87704,CRSL,6/15/2021,Catfish Electro,106,0.083333333
88063,CRSL,6/29/2021,Catfish Electro,9,0.083333333
88064,CRSL,6/29/2021,Catfish Electro,30,0.083333333
88062,CRSL,6/29/2021,Catfish Electro,36,0.083333333
88061,CRSL,6/29/2021,Catfish Electro,51,0.083333333
88060,CRSL,6/29/2021,Catfish Electro,55,0.083333333
88059,CRSL,6/29/2021,Catfish Electro,76,0.083333333
88054,CRSL,6/29/2021,Catfish Electro,82,0.083333333
88055,CRSL,6/29/2021,Catfish Electro,91,0.083333333
88058,CRSL,6/29/2021,Catfish Electro,93,0.083333333
88056,CRSL,6/29/2021,Catfish Electro,96,0.083333333
88057,CRSL,6/29/2021,Catfish Electro,106,0.083333333
88136,CRSL,7/7/2021,Catfish Electro,9,0.083333333
88137,CRSL,7/7/2021,Catfish Electro,30,0.083333333
88138,CRSL,7/7/2021,Catfish Electro,36,0.083333333
88135,CRSL,7/7/2021,Catfish Electro,51,0.083333333
88134,CRSL,7/7/2021,Catfish Electro,55,0.083333333
88133,CRSL,7/7/2021,Catfish Electro,76,0.083333333
88129,CRSL,7/7/2021,Catfish Electro,82,0.083333333
88130,CRSL,7/7/2021,Catfish Electro,91,0.083333333
88373,CRSL,7/7/2021,Catfish Electro,93,0.083333333
88131,CRSL,7/7/2021,Catfish Electro,96,0.083333333
88132,CRSL,7/7/2021,Catfish Electro,106,0.083333333
88374,CRSL,7/13/2021,Catfish Electro,9,0.083333333
88378,CRSL,7/13/2021,Catfish Electro,30,0.083333333
88368,CRSL,7/13/2021,Catfish Electro,36,0.083333333
88367,CRSL,7/13/2021,Catfish Electro,51,0.083333333
88366,CRSL,7/13/2021,Catfish Electro,55,0.083333333
88375,CRSL,7/13/2021,Catfish Electro,76,0.083333333
88377,CRSL,7/13/2021,Catfish Electro,82,0.083333333
88363,CRSL,7/13/2021,Catfish Electro,91,0.083333333
88365,CRSL,7/13/2021,Catfish Electro,93,0.083333333
88364,CRSL,7/13/2021,Catfish Electro,96,0.083333333
88376,CRSL,7/13/2021,Catfish Electro,106,0.083333333
88485,CRSL,7/21/2021,Catfish Electro,9,0.083333333
88491,CRSL,7/21/2021,Catfish Electro,30,0.083333333
88488,CRSL,7/21/2021,Catfish Electro,36,0.083333333
88484,CRSL,7/21/2021,Catfish Electro,51,0.083333333
88487,CRSL,7/21/2021,Catfish Electro,55,0.083333333
88489,CRSL,7/21/2021,Catfish Electro,76,0.083333333
88490,CRSL,7/21/2021,Catfish Electro,82,0.083333333
88481,CRSL,7/21/2021,Catfish Electro,91,0.083333333
88483,CRSL,7/21/2021,Catfish Electro,93,0.083333333
